,Questions,Answers
0,what are the colors that come in the package?,"All colors seen on box plus Teal, Burgundy, Black, Brown, and Copper. No white"
1,difference between meat cure and pickling salt,"Pickling salt is a very pure form of salt. A meat cure contains sodium nitrate (like .05%), sodium nitrite(also .05%) and salt. The cure is a means of preserving meat and fish. I use Morton Tender Quick with salmon in place of the brine and smoke it for 5 to 8 hours. Refrigeration is still required."
2,where are these almonds grown?,According to their website these almonds are imported from Italy and they are not pasteurized.
3,"How long do these limes stay fresh? I want to use them in my gin & tonics, so I wouldn't use 5 lbs too quickly! Will they last awhile in fridge?","If unprotected in the refrigerator, they will last as long as other fruit.  Use Debbie Meyer Green Bags to extend their freshness.  We use these bags for all our fruits and veggies and they last much longer."
4,"Title says ""12 x 7.9oz"". Does that mean 12 jars of 7.9oz or is that a misprint?","No, sadly I reviewed only one jar."
5,Is this un-refined and does it smell like coconut oil?,This is refined and doesn't have much of a smell at all.
6,How long can this product safely be stored after opening ?,Mine lasts for several months - especially when refrigerated. I always run out before coming close to it spoiling.
7,Is this product a dry seasoning or a paste?,"This is a paste type product. If you like spicey go for it however, if you are like me & like a little heat but not break out sweat heat go easy with this. Really good flavor though. When I can't get the zip I want in my salsa or chili I add some of this but usually 1/2 tsp is about all I need to a batch. Hope this helps."
8,Are the concentrates sweetened at all?,No. They are pure fruit purée with no added sugar (I can only speak for the passion fruit and guava).
9,How does one store these when not sprouting them?  Thanks,"In a cool, dry, dark place.  I keep mine in a can under the stairs..."
10,Are there added preservatives?,The only ingredient is rice. Full nutrition information is available on the Authentic Foods website.
11,How  much sodium is in a single serving?,The Lemon Pepper has 20mg sodium per 1 1/2 cups dry. Roasted Garlic probably about the same. I don't have roasted garlic at this time to check the package.
12,Is this made in USA?,"As someone who has purchased this item, the label reads, ""brewed in Walworth, WI"". So, yes."
13,Is the lime $9.00 for 24 cans? Don't want to order and end up with an 8 pack for that. Won't be happy.  Thanks.,Yes. You get 3 8-packs.
14,Please tell me if it is 100% wheat and contains no barley or other grain additions? Please provide only answers from label information. Appreciated.,"It contains malted barley flour as well as the usual vitamin enrichments (riboflavin, folic acid, etc.) and vitamin C as a preservative."
15,Is anyone able to measure the diameter of the mint itself? I need to put a sticker on it and saw a comment that these are smaller. Thank you!,Approximately one inch diameter.
16,is this seedless,Yes mine was...
17,How is the taste compared to Swerve?  How is the taste compared to Splenda?,Tastes more like sugar than Splenda. No gross after taste
18,what is the shelf life of this product?,"I have not had any go bad if it is unopened, but I found that it needs to be refrigerated after opening or it will grow mold on top. I would recommend using within 4 weeks of opening if it is kept refrigerated."
19,I only received 11 not 12 in the box just delivered.  Why?,"I had the same experience with this seller. Box was open, one of the bottles was missing. Contact Amazon, they will want to know something is amiss."
20,"Sugar free Oreo - Sweetener? What's the sweetener used in this product? Consumers would want to know. For instance, I'd buy it if they used Splenda. Would not if they used Malitol.","These are indeed Sweetened with Malitol.  I don't know about you but I am exteremely sensitive to Malitol.  So, I don't recommend them"
21,Is this product made from GMO free rice?,"As far as I know yes, but you might be better off contacting Bob's Red Mill directly."
22,Is the chocolate in the these bars actually raw chocolate?,I have the chocolate coconut ones. Does not say raw. Says organic cocoa processed with alkali
23,What's the shelf life? thanks.,I keep mine in the ref. and freezer. I've had arrow root for years like that and have never noticed any loss of it's properties.
24,"Are Crown Prince Alaskan Pink Salmon cans free of nasty bisphenol A (BPA), a chemical used as glue to keep the cans together?","I found this information about BPA in cans on the Crown Prince site:  http://www.crownprince.com/bpa-free-cans.htm  It appears that some products, including boneless, skinless, pink salmon, are in BPA free cans, but some other products are not."
25,What's the difference between Crown Prince NATURAL in olive oil (white box) and Crown Prince in Olive oil (Blue box)?,"According to their website there isn't a qualitative difference. Both varieties have the same listed properties, including: wild caught, 1.7 g omega-3, and BPA free cans."
26,I'm on a clear liquid diet and will have to be a few more times in the future. Are the drops clear or colored?,"It depends on which one you get, some are clear (like grape and berry) and some have coloring (like toffee).  I have not tried all of the flavors but even the toffee, which is the color of coffee is still clear v. murky.  The lemon is also clear. You only need a few drops, this is a very concentrated product that goes a long way."
27,"Hard or Soft? I was looking at these for my 2 year old with food allergies.  Are these bars hard and crunchy or are they soft and chewy?  Do they have whole nuts in them that would be a choking hazard, or are they ground up?Thanks!



    Hard or Soft? I was looking at these for my 2 year old with food allergies.  Are these bars hard and crunchy or are they soft and chewy?  Do they have whole nuts in them that would be a choking...
      » 
Read More


   Hard or Soft? I was looking at these for my 2 year old with food allergies.  Are these bars hard and crunchy or are they soft and chewy?  Do they have whole nuts in them that would be a choking hazard, or are they ground up?Thanks!
      « 

Show Less","The bars are soft and chewy, some of them have tiny bits of nuts in them but not large pieces. Hope that helps!"
28,where is it made/,"Papua New Guinea, Mount Hagen.  Packed by wertform.de"
29,"OK, this may be a silly question, but are these plump, as stated? I just received some from another Amazon seller and they look pretty skinny.",They were slender yet plump. They were very aromatic. I use them to make vanilla and the beans are very fresh.
30,"lost my lolly pop person (,charms super blow pops) CHERRY,STRAWBERRY please help me",Sorry Douglas but we don't sell the Charms lollipops! Maybe in the future.
31,Are these meant for meal replacements or healthy snacks for dieters?,I personally just use them for a healthy snack bc it doesn't have enough protien.
32,what is the caffiene content?,No caffeine content  is listed on canister; I assume it must be an insignificant amount.
33,Expiration date?,I had ordered in February 2013 and the candy had an expiration date of April 2013.
34,Is this product gluten free?,"container does not say ""gluten fee"" but ingrdients read as follows:potassium chloride,potassium bitartrate, adipic acid,silicon dioxide, mineral oil and fumaric acid. Recommended for sodium-restricted diets and cane be measured and used like regular salt but is sodium-free. You can call 1-800-841-1256 with questions or comments. It is made by French's Foods. It has no cholesterol, no sodium, no carbs. no protein, no fat.    Hope this helps.  I have used this for 3 years with no problems."
35,"What is the expiration date on this item, 24 pack of gravy?","I bought my box in May 2013, and exp date says, ""Best Buy Feb 2014."" But I'm positive if you keep them in the freezer you'll extend that date exponentially. Good buy, tastes great. I've finished most of mine and due to buy more."
36,Are these cranberries grown in the USA?,"Their website says the company is in Traverse City, MI and they claim all of their fruit in USA grown."
37,How many carbohydrates per serving?,"The nutrition facts label as shown in one of the photos states there are 18.6 g carbs in each 3 lollipop serving (but, shhh, my kid doesn't know a serving equals 3!). If it helps make up your mind, I've been buying these for 2 or 3 years now as they are a favorite of my youngest son (age 13) and all my grandkids. I'm happy to be the grandma that always has organic lollipops in the cupboard, and I enjoy one myself every now and then!"
38,how many are in the pack?,"Its one jar, but I bought six at a time, so that makes it more affordable, as the shipping is the same, but is spread out over the six jars."
39,Exactly what Polish cherry was the Oregon tart cherry substitute?  I loved them and hope to find more.  More tart than Montmorency.,"I don't think the can specified the cherry name, but the ones we received from Amazon were great. We have cherry trees, but low cherries this year. These Oregon Fruit co. cherries were a great substitute. They didn't taste ""old"", but just ""canned"" rather than fresh."
40,were do the coins go after you insert them?,It is just like a piggy bank.  There is a circular plug at the bottom to contain and retrieve the coins.  Hope this helps!
41,How old is the candy bar?,We got two in a week and they both were quite fresh.   it is a reputable company that I'm sure would take it back if you were not satisfied.  We have bought 2 others over the past years at different times and there was never a problem. The biggest problem is that it is quite big.  LOL.
42,"What is the measurement of 7 oz of this product?  I want to try making toilet bombs, and the recipe asks for 1/2 cup?",7 oz more than 1/2 cup
43,"I've always wanted to try lemon curd and this product received excellent reviews.  But tell me, what do I do with it?","ooooh, you can eat it with a spoon right out of the jar!! Or, put it on scones,toast,cookies,bars..use it as a topping with ice cream. The uses are endless. The smooth lemony taste is so very good."
44,"Why the added sugar? Why does this milk have sugar added?  Is it noticeably sweet?  Can it be used for making mashed potatoes, etc?","all low fat milks contain extra sugar.  I worked a starbucks for years.  its basically a milk store too.  I always found it funny when the Atkins dieters would want non fat milk because it actually contains added sugar therefore extra carbs.  I wouldnt worry about it every other non fat milk you get has extra sugar too, unless you milked it."
45,Anyone know if this product contains eggs?,"According to the ingredient list, NO...It contains: Brown Rice Flour, Tapioca Flour, Arrowroot Flour, Xanthan Gum, Granulated Garlic, Cream of Tartar, Salt, Baking Soda, Italian Seasoning, Granulated Onion, Ascorbic Acid."
46,"Is this brown rice (whole grain)? The description just says, ""rice.""","No, it has been milled."
47,How much sodium is there in this product?,"Pursuant to reading the side of the can, other than the listing of a few ingredients (e.g., lemon, paprika, salt, pepper...), it does NOT provide the amount of miligrams with regard to sodium.  As a Hungarian who assumes normally a ""no-added salt"" diet to keep me from retaining fluid in my legs, I do not taste a huge amount as opposed to the amount of paprika, which I can assume safely should be no more 100 mg per serving.  I must add; however, that the rub REALLY enhances the flavor of not only fish (e.g., which is what I purchased the product for) but also beef and fowl.  I hope I answered your question to your expectations.  I recommend trying to conduct an Internet search on ""amount of sodium in Szeged fish rub"" or their website to try to obtain additional nutritional information.  Sorry that I could not provide you with a better answer more relative to what you were seeking exactly--that's an excellent question.



    Pursuant to reading the side of the can, other than the listing of a few ingredients (e.g., lemon, paprika, salt, pepper...), it does NOT provide the amount of miligrams with regard to sodium. As a Hungarian who assumes normally a ""no-added salt"" diet to keep me from retaining fluid in my legs, I do not taste a huge amount as opposed to the amount of paprika, which I can assume safely should be no more 100 mg per serving. I must add; however, that the rub REALLY enhances the flavor of not only fish (e.g., which is what I purchased the product for) but also beef and fowl. I hope I...
      » 
Read More


   Pursuant to reading the side of the can, other than the listing of a few ingredients (e.g., lemon, paprika, salt, pepper...), it does NOT provide the amount of miligrams with regard to sodium.  As a Hungarian who assumes normally a ""no-added salt"" diet to keep me from retaining fluid in my legs, I do not taste a huge amount as opposed to the amount of paprika, which I can assume safely should be no more 100 mg per serving.  I must add; however, that the rub REALLY enhances the flavor of not only fish (e.g., which is what I purchased the product for) but also beef and fowl.  I hope I answered your question to your expectations.  I recommend trying to conduct an Internet search on ""amount of sodium in Szeged fish rub"" or their website to try to obtain additional nutritional information.  Sorry that I could not provide you with a better answer more relative to what you were seeking exactly--that's an excellent question.
      « 

Show Less"
48,"nutrtional info please/caloric,protien, fiber,carbs, etc....thanx","Serving size-2 bars,  calories-180, total fat-6 gr, Sat fat-0.5 gr, cholesterol-0, sodium-160 mg, total carbs 29 grams, dietarty fiber-2 gr, sugars-11 gr, protein-2 gr. Hope this helps."
49,How does this compare to Teavana's German Rock Sugar?,"I personally have not purchased Teavana's German Rock Sugar but I have done some research.  Research indicates both are from beat sources.  NOW beet sugar is in a form similar to cane sugar but is actually a little sweeter.  The Teavana sugar is in a much larger crystal form that takes much longer to dissolve.  I was not able to confirm if the color difference (white for NOW, brownish for Teavana) was due to less processing of the Teavana sugar or additives.  The NOW brand foods are not genetically modified according to their website http://www.nowfoods.com/Quality/our-non-gmo-commitment.htm, however, I saw research that indicated the Teavana sugar was from genetically modified sources.  I can not confirm or deny this statement as I was unable to confirm its authenticity.  But with a higher price and the lack of data on ingredients, I chose to go with the NOW foods beet sugar.



    I personally have not purchased Teavana's German Rock Sugar but I have done some research. Research indicates both are from beat sources. NOW beet sugar is in a form similar to cane sugar but is actually a little sweeter. The Teavana sugar is in a much larger crystal form that takes much longer to dissolve. I was not able to confirm if the color difference (white for NOW, brownish for Teavana) was due to less processing of the Teavana sugar or additives. The NOW brand foods are not genetically modified according to their website...
      » 
Read More


   I personally have not purchased Teavana's German Rock Sugar but I have done some research.  Research indicates both are from beat sources.  NOW beet sugar is in a form similar to cane sugar but is actually a little sweeter.  The Teavana sugar is in a much larger crystal form that takes much longer to dissolve.  I was not able to confirm if the color difference (white for NOW, brownish for Teavana) was due to less processing of the Teavana sugar or additives.  The NOW brand foods are not genetically modified according to their website http://www.nowfoods.com/Quality/our-non-gmo-commitment.htm, however, I saw research that indicated the Teavana sugar was from genetically modified sources.  I can not confirm or deny this statement as I was unable to confirm its authenticity.  But with a higher price and the lack of data on ingredients, I chose to go with the NOW foods beet sugar.
      « 

Show Less"
50,Are the sachets individually wrapped?,No
51,"What is the source for this, corn or birch?  Where was this manufactured?","I emailed the company and this is what they said:  The xylitol in our products is derived from the fibrous or woody parts of Non-Gmo corn stalks and cobs. There is no corn kernel in the xylitol, so those with allergies to corn have no reaction to it. It is also casein and gluten free. Because there is no grain in the product, there are absolutely no micro-toxins found in our xylitol (It is tested for such impurities in the manufacturing process and as a finished product). The corn-derived xylitol does not require hydrogenation, like xylitol from birch trees, and since it comes from a renewable source we're able to keep it affordable for our customers. Our Xylitol is manufactured in China. We are aware of the concerns that people have with products being made in China, so we do take extra precautions. We package all of our products here in the U.S. so we are able to inspect them before packaging. The FDA also inspects and approves. We also send a couple of our representatives to China around 6 times a year to check on the facilities. I can assure you that all of our products are safe to use. It is the pharmaceutical grade and is at least 99.8% pure.



    I emailed the company and this is what they said: The xylitol in our products is derived from the fibrous or woody parts of Non-Gmo corn stalks and cobs. There is no corn kernel in the xylitol, so those with allergies to corn have no reaction to it. It is also casein and gluten free. Because there is no grain in the product, there are absolutely no micro-toxins found in our xylitol (It is tested for such impurities in the manufacturing process and as a finished product). The corn-derived xylitol does not require hydrogenation, like xylitol from birch trees, and since it comes from a...
      » 
Read More


   I emailed the company and this is what they said:  The xylitol in our products is derived from the fibrous or woody parts of Non-Gmo corn stalks and cobs. There is no corn kernel in the xylitol, so those with allergies to corn have no reaction to it. It is also casein and gluten free. Because there is no grain in the product, there are absolutely no micro-toxins found in our xylitol (It is tested for such impurities in the manufacturing process and as a finished product). The corn-derived xylitol does not require hydrogenation, like xylitol from birch trees, and since it comes from a renewable source we're able to keep it affordable for our customers. Our Xylitol is manufactured in China. We are aware of the concerns that people have with products being made in China, so we do take extra precautions. We package all of our products here in the U.S. so we are able to inspect them before packaging. The FDA also inspects and approves. We also send a couple of our representatives to China around 6 times a year to check on the facilities. I can assure you that all of our products are safe to use. It is the pharmaceutical grade and is at least 99.8% pure.
      « 

Show Less"
52,Is this product vegan?,It has non dairy creamer.
53,How similar in taste is this to Good Earth Original Sweet & Spicy tea?,"I am unfamiliar with Good Earth but I think this is a very unique flavor.  The Harney Hot Cinnamon (regular tea or herbal) is a very intense sweet cinnamon flavor-  it doesn't burn but it sweetens the beverage, as if you had added honey.  The orange notes are subtle rounding out the flavor and the black tea flavor is ever so noticeable.   I am totally addicted to the flavor/sweeteness.  If you have never tasted it and like/love a strong (not subtle) cinnamon flavor it is worth a try."
54,does the pot keep coffee hot,"Hello fellow Amazon buyer!  I have this coffee pot and like it a lot. I pour boiling water into the porcelain pot before making coffee.  The pot heats up and when I am ready to pour through, I empty the hot water from the pot into my coffee cup.  The result is coffee that is actually hotter than coffee made in electric coffee pots that are boiling water drop by drop.  In electric pots, the water loses the heat rapidly.  So, it is possible to get a very hot, fresh cup of coffee from the Melitta.  However, the heat does dissipate.  I use a dishtowel to cover the pot if any coffee is going to sit for a while.  I hope that I have answered your question!  I do recommend the coffee maker.



    Hello fellow Amazon buyer! I have this coffee pot and like it a lot. I pour boiling water into the porcelain pot before making coffee. The pot heats up and when I am ready to pour through, I empty the hot water from the pot into my coffee cup. The result is coffee that is actually hotter than coffee made in electric coffee pots that are boiling water drop by drop. In electric pots, the water loses the heat rapidly. So, it is possible to get a very hot, fresh cup of coffee from the Melitta. However, the heat does dissipate. I use a dishtowel to cover the pot if any coffee is going to sit for...
      » 
Read More


   Hello fellow Amazon buyer!  I have this coffee pot and like it a lot. I pour boiling water into the porcelain pot before making coffee.  The pot heats up and when I am ready to pour through, I empty the hot water from the pot into my coffee cup.  The result is coffee that is actually hotter than coffee made in electric coffee pots that are boiling water drop by drop.  In electric pots, the water loses the heat rapidly.  So, it is possible to get a very hot, fresh cup of coffee from the Melitta.  However, the heat does dissipate.  I use a dishtowel to cover the pot if any coffee is going to sit for a while.  I hope that I have answered your question!  I do recommend the coffee maker.
      « 

Show Less"
55,will this sprout or is it sterlized?,"This is clean and ready to be cooked with and eaten, if your wondering if they will sprout yes, any rye berry will sprout if planted, but if left sitting without soil or water,  they will last you a very long time with out going bad or sprouting."
56,Have you tried brewing it in a Kuerig Coffee maker?,I brewed this in my Hamilton Beach coffee maker and it came out wonderful.
57,Is this unmodified potato starch?,Yes. It is potato starch from USDA certified organic non-radiated potatoes. Nothing but.Frontier Natural Products co-op is known for their quest to supply natural goodness .
58,Does this mix produce those extremely dark brown almost black heavenly tasting buckwheat pancakes ?,Yes it does---add some dried or fresh blue berries or your favorite fruit and yummmy!
59,"Does the price includes ""3"" bottles of 32 oz each, for a total of ""96oz""? Please confirm before I place an order.ThanksEVB",I only got one 32oz bottle
