,Questions,Answers
0,how long is this cord? the pictures looks like its only a couple inches?,"I took a photo: <http://imgur.com/G48f1C4>I bought the 1' version. You can see that the entire thing is just over 12"" long. Around 8.5"" of that is cord."
1,Has anyone used this to split a stereo signal?  Want to use with the AT2022 mic--which uses a stereo 3-pin XLR output.  Appreciate any info!,I believe this adapter yields a mono split and not a stereo split.
2,"Is the mike proprietary or could I use a higher quality mike? If so, would there be a difference with a better mike? (recording classroom lectures)",I don't ever use the stock mic that came with it.  I prefer the Sony Lapel Mic.  I have a number of these and they work great.
3,How does this compare to the Yamaha CGS103 3/4 size?,"The CGS103 is a CLASSIC guitar. While the FG JR1 is an ACOUSTIC guitar.   Classic guitars have thicker necks and rely on nylon strings. The thicker necks are made for easier finger picking styles like Spanish guitar music (Flamenco). You will notice on Classic guitars there is not usually a pick guard as it is more geared to finger picking/playing.  The FG JR1 is more for typical acoustic strumming with a a pick and while can certainly still be played by finger picking, that is not its main intention. The FG JR1 has steel strings (versus the nylon on the CGS103) but you can always change the strings on the FG JR1 to softer ones if you want. NOTE: Do not put steel strings on a Classic guitar (like the CGS103) as they do not have reinforced necks and are not made for steel strings. Acoustic guitars can handle either. - Hope that helped a bit!



    The CGS103 is a CLASSIC guitar. While the FG JR1 is an ACOUSTIC guitar. Classic guitars have thicker necks and rely on nylon strings. The thicker necks are made for easier finger picking styles like Spanish guitar music (Flamenco). You will notice on Classic guitars there is not usually a pick guard as it is more geared to finger picking/playing. The FG JR1 is more for typical acoustic strumming with a a pick and while can certainly still be played by finger picking, that is not its main intention. The FG JR1 has steel strings (versus the nylon on the CGS103) but you can always...
      » 
Read More


   The CGS103 is a CLASSIC guitar. While the FG JR1 is an ACOUSTIC guitar.   Classic guitars have thicker necks and rely on nylon strings. The thicker necks are made for easier finger picking styles like Spanish guitar music (Flamenco). You will notice on Classic guitars there is not usually a pick guard as it is more geared to finger picking/playing.  The FG JR1 is more for typical acoustic strumming with a a pick and while can certainly still be played by finger picking, that is not its main intention. The FG JR1 has steel strings (versus the nylon on the CGS103) but you can always change the strings on the FG JR1 to softer ones if you want. NOTE: Do not put steel strings on a Classic guitar (like the CGS103) as they do not have reinforced necks and are not made for steel strings. Acoustic guitars can handle either. - Hope that helped a bit!
      « 

Show Less"
4,Will this stand fit the Yamaha YPG235?,"Yes. 4 screws secure it in place and it works perfectly with the YPG-235. I purchased December, 2012"
5,does this beta 58a microphone have a switch to turn it on and off?,"Like most professional microphones, it does not. Most audio engineers do not want a switch as it introduces another point of confusion during a production (why no sound? Did the talent flip the switch? etc). If you absolutely need a switch for a special application, there are microphone cables with build in switches."
6,Where is the guiltar made and what is the width of the neck at the nutt?,"Well yes Epiphone does make guitars at the Nashville facility but I am pretty sure most (if not all) LP-100's are made in their (Epiphone) China factory. Mine absolutely is Chinese made. I measured the nut width at the top of the neck and it showed to be 1-5/8"" but ""official"" stats state it's 1-11/16""  I bought my Ebony LP-100 5 months ago new ( 1st electric and am novice)  and it is a Fine guitar for the money.  I upgraded to a LP Standard in Red 2 months ago but can't find it in me to sell the LP100 ( actually I have lighter weight strings on 100 model and use it when practicing Bends lol) http://www.epiphone.com/Products/Les-Paul/Les-Paul-100.aspx



    Well yes Epiphone does make guitars at the Nashville facility but I am pretty sure most (if not all) LP-100's are made in their (Epiphone) China factory. Mine absolutely is Chinese made. I measured the nut width at the top of the neck and it showed to be 1-5/8"" but ""official"" stats state it's 1-11/16"" I bought my Ebony LP-100 5 months ago new ( 1st electric and am novice) and it is a Fine guitar for the money. I upgraded to a LP Standard in Red 2 months ago but can't find it in me to sell the LP100 ( actually I have lighter weight strings on 100 model and use it when...
      » 
Read More


   Well yes Epiphone does make guitars at the Nashville facility but I am pretty sure most (if not all) LP-100's are made in their (Epiphone) China factory. Mine absolutely is Chinese made. I measured the nut width at the top of the neck and it showed to be 1-5/8"" but ""official"" stats state it's 1-11/16""  I bought my Ebony LP-100 5 months ago new ( 1st electric and am novice)  and it is a Fine guitar for the money.  I upgraded to a LP Standard in Red 2 months ago but can't find it in me to sell the LP100 ( actually I have lighter weight strings on 100 model and use it when practicing Bends lol) http://www.epiphone.com/Products/Les-Paul/Les-Paul-100.aspx
      « 

Show Less"
7,will these fit on a Epiphone Les Paul,"They'll fit any guitar as far as I can tell.  I have them on strats, teles and a les paul.  Please note that the screws for these are bigger than the ones that come with the guitar so if you ever remove them the old strap attachments will not stay on again.  But why would you ever take them off, right?"
8,will this fit the Epiphone DR-100?,"Hi, The DR-100 is a dreadnaught class guitar so this case should fit perfect. I would also like to add this case is one of the most well constructed guitar cases I've ever owned. I've bought 2 of them for my Epiphone guitars. I wish I could find this nice of a case for my Gibson guitars. The only other wood constructed hard shell case I've found as nice were Martin cases and they start out at about $500. Hope this helps.."
9,How does this compare to guitar honey for cleaning and maintaining the fretboard?,I've never actually used guitar honey but I will say this...I used fast fret on all my guitars after I play and it keeps the fret boards clean and makes my strings last way longer!!!
10,"Does it come with a rack mount, and how wide is it?","It did not come with a rack mount and the unit is about half the size of a regular rack component. I have since replaced the unit with the Presonus Single Channel unit that has a tube, EQ and compressor all in one."
11,is this recorder coming with any cases?,"Yes,  I believe it came with a clear plastic sleeve that snapped shut."
12,"and I have to use the two juices or I can use one and if so, what is the most recommended","From my experience with the machine you wanna use the any ""low lying"" fog"
13,I have a couple of guitars that are too bright sounding using phosphor bronze strings. Would this be a good set to mellow the tone out and warm it up?,Yes ! Very much the control and sound of tone I needed!
14,Does this come with an oboe fingering option?,"No, it has no oboe fingering option. It only has 3 sax style and 1 flute style."
15,"This oil ""SuperSlick KRO Key Rotor Oil"" is proper for Saxophones?",Rotor oil is for brass instruments that have rotary valves like French horns and some tubas. You can use it like regular valve oil on piston valve instruments like trumpets.
16,Does the seat swivel?,"Yes, full 360 degree swivel in place."
17,Can it be a carry on when taking airplan ?,Yes
18,What is the difference between 5A and 5B? Wider? Heavier? Thanks.,5Bs are wider and a little heavier than 5As. Oak is heavier and harder than maple.
19,I am wondering what the true interior dimentions of this case as I am not using this for a keyboad,"The measurments are 58""L x 20"" W x51/2 "" Deep. I has a substantial pocket also. I'm very happy with both the quality and the price.  I've had other bags that fall apart at the seams  (literally).  I recommend it for any keyboard no matter the weight.  Regards Spike"
20,How many drums come with this order? Three (3) or one? Thank you!,The order only comes with one of the size that you specify. Hope that helps you. Randy C.
21,can you connect this to 4 channel dj amp,This is only for two cannel stereo operation. (R-L) You would need two units to do 4 channel. (front R-L) (Rear R-L)
22,the description says it only has 4 mic pre amps. but the XLR inputs for Ch 5/6 and for 7/8 say 'MIC'. will dynamic mics work on these last 2 inputs?,"Best Answer: There are six XLR inputs, meaning that, yes, you can connect six mics. But only the first four mic inputs have ""pre amps,"" which I believe you've confused mic inputs with pre amps, as these are two different things. Some mic inputs have pre amps and some do not. Simply put, a ""pre amp"" amplifies an XLR mic input signal. The purpose is to help increase the level of a weak/quiet mic."
23,What is phantom power?,"Phantom power is a power supply used to power condenser mics. The standanrd voltage on phantom power is 48v, but some mics may vary."
24,Will this fit a Little Martin LX1 with sound hole size = 3 1/4''?,I cannot comment as it did not fit the guitar I had purchased it for. I have since given the device away
25,"Hi, will this fit the Boss PSM 5 power supply/master switch pedal? Thanks a lot.","This fits all Boss pedals, as well as 99.99% of other pedals."
26,Is this possible to just play and not connect it on the computer ?,"No, this is only a controller. You need to connect it to a computer with music/instrument software or a MIDI-compatible instrument (like a synthesizer)."
