,Questions,Answers
0,"Yes, you will need to go to their website to download version 4.55 or above of the CH Control Manager program, then you'll be all set. Find it here: http://www.chproducts.com/13-29170-Downloads-and-Community.php","Yes, you will need to go to their website to download version 4.55 or above of the CH Control Manager program, then you'll be all set. Find it here: http://www.chproducts.com/13-29170-Downloads-and-Community.php"
1,"As long as it has a USB port it should work fine.  Windows xp and windows 7 work fine, I'm sure windows 8 should work as well.","As long as it has a USB port it should work fine.  Windows xp and windows 7 work fine, I'm sure windows 8 should work as well."
2,"The Saitek X52 is an awesome value with good performance.  There are some longivity issues but it's still a good setup that offers the most features for the money, great for a first timer.CH Products aren't as flashy and modern looking but tend to last a long time and have excellent sensitivity and accuracy.  The CH software is also very lightweight on resources and offers good programing and the ability to combine multiple devices into one virtual joystick for compatibility with more programs.  CH also has a helpful fan base and third party forums, search for CH Hangar in Google.","The Saitek X52 is an awesome value with good performance.  There are some longivity issues but it's still a good setup that offers the most features for the money, great for a first timer.CH Products aren't as flashy and modern looking but tend to last a long time and have excellent sensitivity and accuracy.  The CH software is also very lightweight on resources and offers good programing and the ability to combine multiple devices into one virtual joystick for compatibility with more programs.  CH also has a helpful fan base and third party forums, search for CH Hangar in Google."
3,"That's what I thought. But sadly, no.","That's what I thought. But sadly, no."
4,"Hi,  No, you need to play it on a pc or laptop or tablet with a Windows or Macintosh operating system.  Thanks for asking.","Hi,  No, you need to play it on a pc or laptop or tablet with a Windows or Macintosh operating system.  Thanks for asking."
5,"No. It plugs into the same port as a wired GBA link cable, so it only works with Game Boy Advance, Game Boy Advance SP and Game Boy Player. If you want to access multiplayer functions of Game Boy Advance games, you'll need those systems or a Game Boy Micro with a special adaptor.","No. It plugs into the same port as a wired GBA link cable, so it only works with Game Boy Advance, Game Boy Advance SP and Game Boy Player. If you want to access multiplayer functions of Game Boy Advance games, you'll need those systems or a Game Boy Micro with a special adaptor."
6,I would assume so.,I would assume so.
7,I am on the same situation with the Palm Tungsten T5. They never mentioned Palm OS as compatible :-(,I am on the same situation with the Palm Tungsten T5. They never mentioned Palm OS as compatible :-(
8,HDMI cable will not fit under this monster cable,HDMI cable will not fit under this monster cable
9,"No.  You have a choice of single play, or 3,4,5,10,15,25,50 and 100 play.","No.  You have a choice of single play, or 3,4,5,10,15,25,50 and 100 play."
10,"Yes it will work with any wii remote,it also worked with mine","Yes it will work with any wii remote,it also worked with mine"
11,"Well, neither the guide nor the game developers really say what the best time is, but I've found that when I go fishing, there tend to be more bites on rainy days at any time, and on sunny days from about 7-9am and 6-10pm. Also, I tend to get the most bites in the river on the farm, just below the chicken coop and nearby the bridge. This may not be true for everyone, it just seems to be the case when I play. Hope this helps!","Well, neither the guide nor the game developers really say what the best time is, but I've found that when I go fishing, there tend to be more bites on rainy days at any time, and on sunny days from about 7-9am and 6-10pm. Also, I tend to get the most bites in the river on the farm, just below the chicken coop and nearby the bridge. This may not be true for everyone, it just seems to be the case when I play. Hope this helps!"
12,"Yes, without any issues","Yes, without any issues"
13,You mean Guitar Hero 5?,You mean Guitar Hero 5?
14,"To be honest I've never had this problem but my best advice would be to either contact EA or I know on YouTube they have serial codes for the base game and expansions so you could also try that but there's no guarantee that could work, worse case scenario is you return the game and purchase a new copy. Hope I cou help.~Hannah","To be honest I've never had this problem but my best advice would be to either contact EA or I know on YouTube they have serial codes for the base game and expansions so you could also try that but there's no guarantee that could work, worse case scenario is you return the game and purchase a new copy. Hope I cou help.~Hannah"
15,"I bought this keyboard even after reading some of the complaints.  It's great.  Some seldom used key combinations have issues.  The one problematic key combination is CTL+R+any key.  CTL+R does work fine though. Some use CTL to crouch in games (I use ALT) so you can see where CTL+R+W migt be an issue. http://prosperouspoverty.blogspot.com/2009/02/microsoft-sidewinder-x6-gaming-keyboard.html has a great write up on the board and addresses concerns for purchasers including the problematic key combinations.  The noise about the lack of height adjusters on the back IMO is over blown since the board slopes slightly upwards.  Additionally the non removable hand rest is higher than my Saitek Elcipse was so I haven't had a problem.  This was my one main concern and I thought worse case I would put something under to slant it but I haven't had to.



    I bought this keyboard even after reading some of the complaints. It's great. Some seldom used key combinations have issues. The one problematic key combination is CTL+R+any key. CTL+R does work fine though. Some use CTL to crouch in games (I use ALT) so you can see where CTL+R+W migt be an issue. http://prosperouspoverty.blogspot.com/2009/02/microsoft-sidewinder-x6-gaming-keyboard.html has a great write up on the board and addresses concerns for purchasers including the problematic key combinations. The noise about the lack of height adjusters on the back IMO is over blown since...
      » 
Read More


   I bought this keyboard even after reading some of the complaints.  It's great.  Some seldom used key combinations have issues.  The one problematic key combination is CTL+R+any key.  CTL+R does work fine though. Some use CTL to crouch in games (I use ALT) so you can see where CTL+R+W migt be an issue. http://prosperouspoverty.blogspot.com/2009/02/microsoft-sidewinder-x6-gaming-keyboard.html has a great write up on the board and addresses concerns for purchasers including the problematic key combinations.  The noise about the lack of height adjusters on the back IMO is over blown since the board slopes slightly upwards.  Additionally the non removable hand rest is higher than my Saitek Elcipse was so I haven't had a problem.  This was my one main concern and I thought worse case I would put something under to slant it but I haven't had to.
      « 

Show Less","I bought this keyboard even after reading some of the complaints.  It's great.  Some seldom used key combinations have issues.  The one problematic key combination is CTL+R+any key.  CTL+R does work fine though. Some use CTL to crouch in games (I use ALT) so you can see where CTL+R+W migt be an issue. http://prosperouspoverty.blogspot.com/2009/02/microsoft-sidewinder-x6-gaming-keyboard.html has a great write up on the board and addresses concerns for purchasers including the problematic key combinations.  The noise about the lack of height adjusters on the back IMO is over blown since the board slopes slightly upwards.  Additionally the non removable hand rest is higher than my Saitek Elcipse was so I haven't had a problem.  This was my one main concern and I thought worse case I would put something under to slant it but I haven't had to.



    I bought this keyboard even after reading some of the complaints. It's great. Some seldom used key combinations have issues. The one problematic key combination is CTL+R+any key. CTL+R does work fine though. Some use CTL to crouch in games (I use ALT) so you can see where CTL+R+W migt be an issue. http://prosperouspoverty.blogspot.com/2009/02/microsoft-sidewinder-x6-gaming-keyboard.html has a great write up on the board and addresses concerns for purchasers including the problematic key combinations. The noise about the lack of height adjusters on the back IMO is over blown since...
      » 
Read More


   I bought this keyboard even after reading some of the complaints.  It's great.  Some seldom used key combinations have issues.  The one problematic key combination is CTL+R+any key.  CTL+R does work fine though. Some use CTL to crouch in games (I use ALT) so you can see where CTL+R+W migt be an issue. http://prosperouspoverty.blogspot.com/2009/02/microsoft-sidewinder-x6-gaming-keyboard.html has a great write up on the board and addresses concerns for purchasers including the problematic key combinations.  The noise about the lack of height adjusters on the back IMO is over blown since the board slopes slightly upwards.  Additionally the non removable hand rest is higher than my Saitek Elcipse was so I haven't had a problem.  This was my one main concern and I thought worse case I would put something under to slant it but I haven't had to.
      « 

Show Less"
16,For me it worked in Battlefield 4 in the search menu. The touch pad didn't work though.,For me it worked in Battlefield 4 in the search menu. The touch pad didn't work though.
17,"With an adapter like this one - Sabrent USB 2.0 Virtual External 7.1 Surround Sound Adapter (USB-AUDD)It has poor reviews, but it works just fine for me at 1/3 of the cost of the other linked item.  I have a MacBook Air without even as many inputs as the Pro.","With an adapter like this one - Sabrent USB 2.0 Virtual External 7.1 Surround Sound Adapter (USB-AUDD)It has poor reviews, but it works just fine for me at 1/3 of the cost of the other linked item.  I have a MacBook Air without even as many inputs as the Pro."
18,yes,yes
19,Use compatibility mode,Use compatibility mode
20,The psp 3000 has a 3.5mm headphone jack according to various websites (i can honestly stick in most of my normal headphones/earbuds)The PSP 3000 does have built in speakers.Also note that I believe the psp 3000 does not have internal memory so you will need a memory stick for your files.,The psp 3000 has a 3.5mm headphone jack according to various websites (i can honestly stick in most of my normal headphones/earbuds)The PSP 3000 does have built in speakers.Also note that I believe the psp 3000 does not have internal memory so you will need a memory stick for your files.
21,"I bought this at the NEX (Navy Exchange) almost a year back, and didn't notice any censoring.. decapitations were definitely abundant..","I bought this at the NEX (Navy Exchange) almost a year back, and didn't notice any censoring.. decapitations were definitely abundant.."
22,no it cant,no it cant
23,Yes. Any Wii controller will work with the Wii u. But it won't work with Wii motion plus games.,Yes. Any Wii controller will work with the Wii u. But it won't work with Wii motion plus games.
24,"This one doesn't send you a code, it mails it within a week.","This one doesn't send you a code, it mails it within a week."
25,"Yep, and lasts more than a week. Best one I've found.","Yep, and lasts more than a week. Best one I've found."
26,"The balance board does all kinds of things besides your weight (horrors!). Some of the games are made to help your balance, as in you shift your weight to make them work such as skiing, or hula hooping, even making balls drop through levels or the step exercises (just like in the gym). The running/jogging things you don't need it for but I would suggest it because so many of the fun ones use it.","The balance board does all kinds of things besides your weight (horrors!). Some of the games are made to help your balance, as in you shift your weight to make them work such as skiing, or hula hooping, even making balls drop through levels or the step exercises (just like in the gym). The running/jogging things you don't need it for but I would suggest it because so many of the fun ones use it."
